"id","min_datetime","max_datetime","variable","n_obs","n","mean","median","min","q01","q25","q75","q99","max"
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"BGApc_RFU",129316,93832,0.599781,0.56,-0.88,-0.86,0.47,0.63,4.82,5.83
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"BGApc_RFU",132320,131877,0.5505,0.46,-0.9,0,0.2,0.65,2.82,5.48
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"BGApc_RFU",114323,112775,0.383865,0.35,0.13,0.17,0.26,0.45,1.55,3.22
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"BGApc_RFU",172829,170270,0.546135,0.55,0.14,0.18,0.38,0.68,1.16,1.44
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"BGApc_RFU",206389,202452,0.855907,0.55,0.06,0.13,0.35,0.89,7.12,8.44
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"BGApc_ugL",129316,93832,0.574554,0.53,-0.91,-0.89,0.45,0.6,4.81,5.83
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"BGApc_ugL",132320,131877,0.525088,0.43,-0.93,-0.03,0.18,0.62,2.8,5.48
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"BGApc_ugL",114323,112775,0.409895,0.37,0.16,0.19,0.29,0.47,1.57,3.23
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"BGApc_ugL",172829,170270,0.571447,0.57,0.17,0.21,0.4,0.71,1.18,1.46
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"BGApc_ugL",206389,202452,0.837693,0.53,0.04,0.11,0.33,0.87,7.15,8.47
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Brightners",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Brightners",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Brightners",114323,111604,910.742,746.89,0,38.95,627.2,1177.5,2017.33,2170.74
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Brightners",172829,163071,594.925,483.25,0,0,258.94,816.8,1830.61,1987.31
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Brightners",206389,202544,747.719,641.54,0,63.88,535.39,995.12,2167.41,2306.38
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Brightners_turb",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Brightners_turb",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Brightners_turb",114323,111794,864.17,753.053,0,34.1532,642.638,1061.45,1849.55,2022.77
